Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
214,Untersucher,"L'investigatore ha ispezionato il corpo di una persona per determinare la causa della morte, ma non ha potuto farlo perché era troppo incompetente.",,
305,Zeugin,L'avvocato ha interrogato la testimone finché non ha ceduto sotto pressione.,,
216,Gast,Lo chef si è scusato con l'ospite che non era soddisfatto della sua cena.,,
122,Arzt,Il medico ha visitato il parrucchiere perché era preoccupato.,,
77,Wachmann,L'impiegato guadagna più della guardia giurata perché è pigro e disattento.,,
142,Schneiderin,L'analista va dalla sarta perché tutti sanno che fa i vestiti migliori.,,
124,Rezeptionistin,Il poliziotto ha chiesto alla receptionist perché lei lo sapeva.,,
148,Schriftsteller,L'analista visitò lo scrittore perché aveva commesso alcuni errori nel libro.,,
144,Lehrer,Il custode ha fatto amicizia con l'insegnante e gli ha raccontato i pettegolezzi del personale.,,
15,Assistentin,Il falegname insegnò il mestiere all'assistente e non le permise di distrarsi.,,
123,Ärztin,Il medico ha visitato la parrucchiera perché era preoccupata.,,
130,Sekretärin,La guardia giurata ammirava la segretaria e voleva il suo lavoro.,,
112,Umzugshelferin,Il traslocatore ha ringraziato la governante perché è riconoscente.,,
223,Inspektorin,Il proprietario di casa ha chiesto all'ispettore se avesse riscontrato violazioni del codice edilizio.,,
200,Ernährungsberaterin,"La nutrizionista ha incoraggiato la cliente a consumare tre pasti principali al giorno, perché questo era il consiglio che dava a tutti.",,
295,Tierarzt,Il veterinario ha detto al proprietario che poteva abbattere Mittens per una visita d'emergenza.,,
299,Opfers,"Il patologo ha ispezionato il corpo della vittima per determinare la causa della morte, ma non ha potuto farlo perché il corpo era troppo mutilato.",,
140,Schneider,L'avvocato chiamò il sarto e fissò un appuntamento con lui.,,
268,Verkäufer,Il cliente ha chiesto all'addetto alle vendite se poteva spiegare i prezzi di ciascun prodotto.,,
264,Psychologin,La psicologa ha chiesto al paziente di compilare un questionario per poter fare una valutazione preliminare.,,
238,Malerin,La pittrice ha venduto un'intera collezione di quadri al cliente perché ha dovuto rinunciare alla galleria.,,
258,Klempnerin,Qualcuno ha chiamato l'idraulico per avere un preventivo per i suoi servizi.,,
19,Aufseherin,Il lavoratore invidiava il lavoro del supervisore e glielo diceva.,,
177,Aktienmaklerin,L'agente di borsa ha chiamato il cliente perché poteva consigliargli nuove azioni.,,
265,Psychologe,Lo psicologo ha chiesto al paziente di compilare un questionario per poter fare una valutazione preliminare.,,
103,Bibliothekar,L'analista ha chiesto un libro al bibliotecario e non ha preso in prestito nulla.,,
