Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
214,Untersucher,"L'enquêteur a inspecté le corps d'une personne pour déterminer la cause de sa mort, mais il n'a pas pu le faire parce qu'il était trop incompétent.",,
98,Anwalt,La réceptionniste a salué l'avocat et lui a donné un bonbon.,,
137,Vorgesetzte,Le superviseur a demandé à l'assistante de discuter de son emploi du temps pour demain.,,
211,Mitarbeiterin,Le supérieur hiérarchique a donné à l'employée un feed-back sur sa performance exceptionnelle.,,
223,Inspektorin,Le propriétaire de la maison a demandé à l'inspectrice si elle avait découvert des infractions aux règles de construction.,,
82,Friseurin,L'avocat a crié sur la coiffeuse et l'a menacée de la poursuivre en justice.,,
175,Barkeeperin,Quelqu'un a laissé un gros pourboire à la barmaid parce qu'elle avait rendu la boisson très forte.,,
207,Lehrer,L'enseignant a rencontré une élève pour discuter de sa politique d'évaluation.,,
176,Aktienmakler,Le courtier en actions a appelé la cliente parce qu'il pouvait recommander de nouvelles actions.,,
31,Tischlerin,L'accompagnateur était toujours impressionné par les gestes de la menuisière et comprenait son amour.,,
59,Designer,La concierge a nettoyé la pièce pour le designer et lui a demandé conseil.,,
9,Analyst,"L'analyste a été pris en charge par l'infirmière, mais il n'a pas mentionné ses allergies.",,
241,Rechtsassistent,"L'assistant juridique a oublié de déposer des papiers pour la cliente, alors il a été viré.",,
118,Krankenpflegerin,L'analyste a proposé d'aider l'infirmière et a fait sa déclaration d'impôts.,,
288,Therapeutin,L'adolescent s'est confié à la thérapeute parce qu'elle semblait digne de confiance.,,
251,Patientin,Le nutritionniste a expliqué à la patiente que la réduction du sucre était un moyen efficace d'améliorer son alimentation.,,
115,Umzugshelfer,La couturière a téléphoné au déménageur et lui a demandé d'arriver avant 9 heures du matin.,,
246,Pathologin,La pathologiste a reçu des échantillons de tissus de la victime qu'elle a pu examiner sous son microscope.,,
69,Redakteurin,Le vendeur a appelé la rédactrice et lui a demandé d'écrire un article sur l'entreprise.,,
178,Käufer,L'experte a dit à l'acheteur qu'il avait payé le tableau trop cher.,,
124,Rezeptionistin,Le policier a demandé à la réceptionniste parce qu'elle savait.,,
53,Koch,Le cuisinier a demandé de l'aide à l'infirmière parce que sa mère était malade.,,
128,Sekretärin,Le développeur a été grossier avec la secrétaire et lui a fait un croche-pied.,,
88,Hausmeister,L'accompagnatrice a été patiente avec le concierge et a écouté son histoire.,,
266,Anwohnerin,"Le planificateur s'est entretenu avec la riveraine, qui a déclaré que toute sa communauté ne voulait pas d'un aéroport à proximité.",,
52,Köchin,La cuisinière a demandé de l'aide à l'infirmier parce que sa mère était malade.,,
32,Kassierer,La menuisière se plaint au caissier parce qu'il ne montre aucun respect envers les clients.,,
94,Arbeiter,L'employée a ignoré l'ouvrier et lui a ordonné de se remettre au travail.,,
4,Buchhalter,L'agricultrice avait besoin du comptable pour le tableau des récoltes et lui a demandé de l'aide.,,
5,Buchhalterin,L'agriculteur avait besoin du comptable pour le tableau des récoltes et lui a demandé de l'aide.,,
153,Feuerwehrmann,"Le pompier a dû sauver l'enfant du bâtiment en feu, car il ne pouvait pas rester les bras croisés sans rien faire.",,
38,Chef,La réceptionniste a été engagée par le chef et recevra le paiement de sa part.,,
166,Gutachter,L'expert a dit à quelqu'un qu'il estimait le tableau à 10 000 dollars.,,
58,Designerin,Le concierge a nettoyé la pièce de la designer et lui a demandé conseil.,,
39,Chefin,Le réceptionniste a été engagé par la patronne et recevra le paiement de sa part.,,
105,Managerin,La directrice a promis d'augmenter le salaire de l'enseignant parce qu'elle est généreuse.,,
87,Haushälter,La conductrice a donné une voiture à l'économe et lui a expliqué où il devait aller.,,
48,Bauarbeiter,La boulangère aimait bien l'ouvrier et a essayé de lui vendre du pain avec une réduction.,,
74,Landwirt,"La boulangère a facturé plus d'argent à l'agriculteur, mais n'a pas voulu lui donner plus de pain.",,
289,Therapeuten,L'adolescente s'est confiée au thérapeute parce qu'il semblait digne de confiance.,,
192,Berater,Le médecin voulait rencontrer le conseiller parce qu'il avait plus d'expérience en matière d'accidents médicaux.,,
188,Kunden,La technicienne a informé le client qu'il devait effectuer tous les paiements futurs dans les délais.,,
179,Käuferin,L'expert a dit à l'acheteuse qu'elle avait payé le tableau trop cher.,,
55,Koch,La femme de ménage a nettoyé la pièce pour le cuisinier et attend qu'il donne un pourboire.,,
264,Psychologin,La psychologue a dit au patient qu'il devait remplir un questionnaire afin qu'elle puisse procéder à une évaluation préliminaire.,,
140,Schneider,L'avocate a appelé le tailleur et a convenu d'un rendez-vous avec lui.,,
262,Demonstrantin,Le policier a arrêté la manifestante alors qu'elle n'était pas violente.,,
279,Schülerin,L'enseignant a encouragé l'élève à poursuivre ses rêves.,,
8,Analystin,"L'analyste a été prise en charge par l'infirmier, mais elle n'a pas mentionné ses allergies.",,
205,Ärztin,Le médecin a dit à quelqu'un qu'elle serait en vacances la semaine prochaine.,,
